Account_Name,Resource_ID,Cloud_Provider,Billing_Period,Compute_Hours,Storage_GB_Used,API_Requests,Total_Charge,Service_Name,Description
Mobile-Backend,ebs-0ab8278,AWS,2026-06,0.0,3402.1,0,153.1,EBS,st1 volumes archive
Internal-Tools,gcs-10b6998,GCP,2026-06,0.0,2354.8,1177355,364.98,Cloud Storage,Model artifacts
Customer-Portal,gcf-0b90135,GCP,2026-06,0.0,0.0,20007176,300.1,Cloud Functions,Pub/Sub processors
Data-Science,cf-0140766,AWS,2026-06,0.0,0.0,110241167,551.21,CloudFront,CDN web distribution
Security-Ops,ebs-0bcb202,AWS,2026-06,0.0,4792.7,0,215.67,EBS,st1 volumes archive
Marketing-Platform,vai-0ae7409,GCP,2026-06,653.0,0.0,0,3265.11,Vertex AI,Training pipelines
Data-Science,csp-096a716,GCP,2026-06,582.5,80.9,40456544,3544.0,Cloud Spanner,Global transaction DB
Marketing-Platform,rs-0483517,AWS,2026-06,637.1,1769.8,0,3229.71,Redshift,Data warehouse cluster
Production-Main,sns-114a513,AWS,2026-06,0.0,0.0,6639411,3.31,SNS,Alert notifications
Security-Ops,s3-017f436,AWS,2026-06,0.0,17256.7,3451335,603.98,S3,Data lake raw zone
DevOps-Central,ado-00e2292,AZURE,2026-06,0.0,98.9,0,24.73,Azure DevOps,Artifacts storage
DevOps-Central,redis-0b8c869,AZURE,2026-06,943.5,0.0,0,1147.94,Azure Cache for Redis,Premium P1 cache
Internal-Tools,rds-0f84794,AWS,2026-06,975.0,1354.3,0,4333.45,RDS,db.r5.2xlarge Aurora cluster
DevOps-Central,kin-09fd183,AWS,2026-06,952.4,0.0,26456081,386.27,Kinesis,Firehose delivery
Staging-Env,vai-094d369,GCP,2026-06,569.0,0.0,0,2845.13,Vertex AI,Training pipelines
Internal-Tools,sqs-1090601,AWS,2026-06,0.0,0.0,60663278,30.32,SQS,Order processing queue
Shared-Services,fd-0ecb547,AZURE,2026-06,0.0,0.0,81407209,610.57,Front Door,Global load balancer
Mobile-Backend,ebs-0ed8926,AWS,2026-06,0.0,2897.9,0,130.41,EBS,st1 volumes archive
Partner-Integration,rds-09ee347,AWS,2026-06,853.7,592.8,0,1689.5,RDS,db.r5.large PostgreSQL replica
DevOps-Central,sm-00d1740,AWS,2026-06,0.0,0.0,1251479,5.01,Secrets Manager,Application secrets
Production-Secondary,ecs-0b92760,AWS,2026-06,501.2,0.0,0,914.79,ECS,Fargate API cluster
Production-Main,eh-0bee571,AZURE,2026-06,632.6,0.0,26357657,288.62,Event Hubs,Standard throughput units
Production-Secondary,nat-0083744,AWS,2026-06,712.9,0.0,0,162.63,NAT Gateway,Staging VPC NAT
Partner-Integration,gcs-0f81901,GCP,2026-06,0.0,19542.4,48854,195.42,Cloud Storage,Archive bucket
DR-Recovery,cosmos-04b4890,AZURE,2026-06,910.7,63.2,18971760,616.58,Cosmos DB,Config store
Data-Science,gcf-0117841,GCP,2026-06,0.0,0.0,10416787,156.25,Cloud Functions,Auth handlers
Marketing-Platform,i-01e6426,AWS,2026-06,938.2,0.0,0,68.49,EC2,t3.micro bastion host
DevOps-Central,azmon-0b5a859,AZURE,2026-06,0.0,322.4,42992379,456.8,Azure Monitor,Logs and metrics
Staging-Env,df-080d892,GCP,2026-06,625.6,0.0,0,1522.24,Dataflow,Streaming pipeline
Data-Science,cosmos-0de3347,AZURE,2026-06,797.1,221.4,44285650,1799.1,Cosmos DB,User data store
Customer-Portal,eh-067c886,AZURE,2026-06,0.0,606.7,0,151.67,Event Hubs,Capture to storage
