Account_Name,Resource_ID,Cloud_Provider,Billing_Period,Compute_Hours,Storage_GB_Used,API_Requests,Total_Charge,Service_Name,Description
Mobile-Backend,ebs-0ab8278,AWS,2026-04,0.0,3065.3,0,135.58,EBS,st1 volumes archive
Internal-Tools,gcs-10b6998,GCP,2026-04,0.0,2140.3,1076324,317.9,Cloud Storage,Model artifacts
Customer-Portal,gcf-0b90135,GCP,2026-04,0.0,0.0,18477242,266.21,Cloud Functions,Pub/Sub processors
Data-Science,cf-0140766,AWS,2026-04,0.0,0.0,98700604,475.96,CloudFront,CDN web distribution
Security-Ops,ebs-0bcb202,AWS,2026-04,0.0,4355.3,0,185.73,EBS,st1 volumes archive
Marketing-Platform,vai-0ae7409,GCP,2026-04,569.1,0.0,0,2874.0,Vertex AI,Training pipelines
Data-Science,csp-096a716,GCP,2026-04,529.5,74.6,35732289,3076.03,Cloud Spanner,Global transaction DB
Marketing-Platform,rs-0483517,AWS,2026-04,585.2,1593.3,0,2853.68,Redshift,Data warehouse cluster
Production-Main,sns-114a513,AWS,2026-04,0.0,0.0,6054401,2.95,SNS,Alert notifications
Security-Ops,s3-017f436,AWS,2026-04,0.0,15638.4,3200881,527.64,S3,Data lake raw zone
DevOps-Central,ado-00e2292,AZURE,2026-04,0.0,89.4,0,21.6,Azure DevOps,Artifacts storage
DevOps-Central,redis-0b8c869,AZURE,2026-04,868.8,0.0,0,991.67,Azure Cache for Redis,Premium P1 cache
Internal-Tools,rds-0f84794,AWS,2026-04,895.5,1258.4,0,3831.42,RDS,db.r5.2xlarge Aurora cluster
DevOps-Central,kin-09fd183,AWS,2026-04,884.2,0.0,23617662,340.48,Kinesis,Firehose delivery
Staging-Env,vai-094d369,GCP,2026-04,523.3,0.0,0,2509.64,Vertex AI,Training pipelines
Internal-Tools,sqs-1090601,AWS,2026-04,0.0,0.0,55913489,26.83,SQS,Order processing queue
Shared-Services,fd-0ecb547,AZURE,2026-04,0.0,0.0,74265705,539.19,Front Door,Global load balancer
Mobile-Backend,ebs-0ed8926,AWS,2026-04,0.0,2634.5,0,112.39,EBS,st1 volumes archive
Partner-Integration,rds-09ee347,AWS,2026-04,746.8,539.0,0,1472.53,RDS,db.r5.large PostgreSQL replica
DevOps-Central,sm-00d1740,AWS,2026-04,0.0,0.0,1109659,4.33,Secrets Manager,Application secrets
Production-Secondary,ecs-0b92760,AWS,2026-04,447.0,0.0,0,809.98,ECS,Fargate API cluster
Production-Main,eh-0bee571,AZURE,2026-04,558.3,0.0,23353376,252.49,Event Hubs,Standard throughput units
Production-Secondary,nat-0083744,AWS,2026-04,647.9,0.0,0,145.95,NAT Gateway,Staging VPC NAT
Partner-Integration,gcs-0f81901,GCP,2026-04,0.0,17721.9,44640,172.82,Cloud Storage,Archive bucket
DR-Recovery,cosmos-04b4890,AZURE,2026-04,813.0,59.4,17233946,534.29,Cosmos DB,Config store
Data-Science,gcf-0117841,GCP,2026-04,0.0,0.0,9490493,137.86,Cloud Functions,Auth handlers
Marketing-Platform,i-01e6426,AWS,2026-04,859.9,0.0,0,61.21,EC2,t3.micro bastion host
DevOps-Central,azmon-0b5a859,AZURE,2026-04,0.0,290.6,38217094,397.03,Azure Monitor,Logs and metrics
Staging-Env,df-080d892,GCP,2026-04,552.2,0.0,0,1325.43,Dataflow,Streaming pipeline
Data-Science,cosmos-0de3347,AZURE,2026-04,735.4,202.0,40270107,1615.08,Cosmos DB,User data store
Customer-Portal,eh-067c886,AZURE,2026-04,0.0,568.2,0,132.84,Event Hubs,Capture to storage
Security-Ops,ecs-0ca2184,AWS,2026-04,440.9,0.0,0,797.78,ECS,Fargate API cluster
Production-Secondary,sqs-0086923,AWS,2026-04,0.0,0.0,23130342,11.13,SQS,Event notification queue
Internal-Tools,gcs-0a02698,GCP,2026-04,0.0,432.6,6927676,75.48,Cloud Storage,Temp processing bucket
Finance-Systems,eks-061d810,AWS,2026-04,752.2,0.0,0,2238.19,EKS,Production K8s cluster
Production-Main,kin-045b307,AWS,2026-04,663.4,0.0,17913407,268.84,Kinesis,Firehose delivery
Shared-Services,nat-0d7f916,AWS,2026-04,587.0,0.0,0,263.39,NAT Gateway,Production VPC NAT
Finance-Systems,aks-0bf9833,AZURE,2026-04,227.5,0.0,0,329.27,AKS,Dev K8s cluster
Customer-Portal,ebs-0b9a537,AWS,2026-04,0.0,479.5,0,291.14,EBS,io2 volumes database
Production-Main,cmon-0696406,GCP,2026-04,0.0,0.0,19196911,144.58,Cloud Monitoring,Metrics and alerting
DevOps-Central,ec-0ce8236,AWS,2026-04,671.7,0.0,0,459.06,ElastiCache,Redis production cluster
Partner-Integration,sm-0856857,AWS,2026-04,0.0,0.0,1233747,5.07,Secrets Manager,Application secrets
Security-Ops,vm-0f8c889,AZURE,2026-04,649.3,0.0,0,385.39,Virtual Machines,D2s v3 utility server
Compliance-Audit,elb-0aeb454,AWS,2026-04,394.1,0.0,28061077,169.9,ELB,Network load balancer
Mobile-Backend,ebs-0898961,AWS,2026-04,0.0,3881.1,0,164.58,EBS,st1 volumes archive
Marketing-Platform,gke-110b932,GCP,2026-04,3389.0,0.0,0,6419.17,GKE,GPU node pool
Security-Ops,lam-017a794,AWS,2026-04,0.0,0.0,3393308,24.17,Lambda,Image resizer
Partner-Integration,rds-1042178,AWS,2026-04,811.0,598.8,0,1603.75,RDS,db.r5.large PostgreSQL replica
Customer-Portal,blob-0442236,AZURE,2026-04,0.0,4916.3,0,482.4,Blob Storage,Security audit logs
Customer-Portal,csql-027c570,GCP,2026-04,895.2,248.5,0,1050.58,Cloud SQL,PostgreSQL replica
