Account_Name,Resource_ID,Cloud_Provider,Billing_Period,Compute_Hours,Storage_GB_Used,API_Requests,Total_Charge,Service_Name,Description
Mobile-Backend,ebs-0ab8278,AWS,2026-07,0.0,3639.5,0,159.66,EBS,st1 volumes archive
Internal-Tools,gcs-10b6998,GCP,2026-07,0.0,2536.3,1259076,400.88,Cloud Storage,Model artifacts
Customer-Portal,gcf-0b90135,GCP,2026-07,0.0,0.0,20869319,318.29,Cloud Functions,Pub/Sub processors
Data-Science,cf-0140766,AWS,2026-07,0.0,0.0,117054610,605.65,CloudFront,CDN web distribution
Security-Ops,ebs-0bcb202,AWS,2026-07,0.0,5042.6,0,226.87,EBS,st1 volumes archive
Marketing-Platform,vai-0ae7409,GCP,2026-07,714.3,0.0,0,3474.91,Vertex AI,Training pipelines
Data-Science,csp-096a716,GCP,2026-07,626.2,88.4,44483609,3874.50,Cloud Spanner,Global transaction DB
Marketing-Platform,rs-0483517,AWS,2026-07,691.6,1880.4,0,3475.47,Redshift,Data warehouse cluster
Production-Main,sns-114a513,AWS,2026-07,0.0,0.0,7069909,3.50,SNS,Alert notifications
Security-Ops,s3-017f436,AWS,2026-07,0.0,18845.5,3786284,651.09,S3,Data lake raw zone
DevOps-Central,ado-00e2292,AZURE,2026-07,0.0,108.1,0,26.63,Azure DevOps,Artifacts storage
DevOps-Central,redis-0b8c869,AZURE,2026-07,1013.3,0.0,0,1243.67,Azure Cache for Redis,Premium P1 cache
Internal-Tools,rds-0f84794,AWS,2026-07,1050.9,1444.9,0,4609.77,RDS,db.r5.2xlarge Aurora cluster
DevOps-Central,kin-09fd183,AWS,2026-07,1027.2,0.0,27724078,416.98,Kinesis,Firehose delivery
Staging-Env,vai-094d369,GCP,2026-07,611.2,0.0,0,3030.96,Vertex AI,Training pipelines
Internal-Tools,sqs-1090601,AWS,2026-07,0.0,0.0,66048270,32.61,SQS,Order processing queue
Shared-Services,fd-0ecb547,AZURE,2026-07,0.0,0.0,87928264,647.44,Front Door,Global load balancer
Mobile-Backend,ebs-0ed8926,AWS,2026-07,0.0,3166.5,0,139.47,EBS,st1 volumes archive
Partner-Integration,rds-09ee347,AWS,2026-07,905.2,647.1,0,1836.67,RDS,db.r5.large PostgreSQL replica
DevOps-Central,sm-00d1740,AWS,2026-07,0.0,0.0,1358557,5.41,Secrets Manager,Application secrets
Production-Secondary,ecs-0b92760,AWS,2026-07,546.7,0.0,0,954.93,ECS,Fargate API cluster
Production-Main,eh-0bee571,AZURE,2026-07,682.4,0.0,28232125,315.79,Event Hubs,Standard throughput units
Production-Secondary,nat-0083744,AWS,2026-07,747.3,0.0,0,175.60,NAT Gateway,Staging VPC NAT
